Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019]
Central African Republic,CAF,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,15.9400300007701,15.7553800018083
Chad,TCD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,36.1906824485852,36.7422534363826
Channel Islands,CHI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Chile,CHL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,28.5290447397051,27.8746677570512
China,CHN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,19.1121035363786,18.4099923155274
Colombia,COL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,15.8997196775431,15.8680386541241
Comoros,COM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,12.909022989086,12.7734606325226
"Congo, Dem. Rep.",COD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,32.5535282647371,25.8676651009614
"Congo, Rep.",COG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,62.2105922950548,56.1988161669292
Costa Rica,CRI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,33.7385107753206,34.3253215588929
Cote d'Ivoire,CIV,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,22.6941999168587,22.6604887650452
Croatia,HRV,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,48.9559828196958,50.1631450658156
Cuba,CUB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,14.5227333911607,12.2133743797594
Curacao,CUW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,63.2460008659465,..
Cyprus,CYP,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,74.9673023347764,76.4877486300826
Czechia,CZE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,76.9435759590934,73.8797803262645
Denmark,DNK,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,56.5598044910739,58.6471822154845
Djibouti,DJI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,156.619875027706,166.717746372109
Dominica,DMA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.1932598071942,..
Dominican Republic,DOM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,23.5514313052003,23.0692820412923
Ecuador,ECU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,23.5438708460917,24.0486348220803
"Egypt, Arab Rep.",EGY,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,17.984655608418,16.6440314510365
El Salvador,SLV,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,28.9343737810256,29.9559096080003
Equatorial Guinea,GNQ,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,59.6145347244398,51.1307495482003
Eritrea,ERI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Estonia,EST,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,74.3238978479862,73.3595544405733
Eswatini,SWZ,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,40.4318355784953,45.6478964535104
Ethiopia,ETH,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,8.37267586646371,7.9399766087609
Faroe Islands,FRO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,52.8180066352782,55.7697162765718
Fiji,FJI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,47.7487957741689,48.4609021522354
Finland,FIN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,38.4687872116233,39.8806794019795
France,FRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.7136672102555,31.5920554143668
French Polynesia,PYF,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.9791687502218,20.5923590296429
Gabon,GAB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,54.2990764910062,51.4310732271996
"Gambia, The",GMB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,21.7264294987761,18.8413979684695
Georgia,GEO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,49.6955410587561,54.3043084100873
Germany,DEU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,47.3088591421652,47.1275808768289
Ghana,GHA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,33.4548954489265,37.4495998625311
Gibraltar,GIB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Greece,GRC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,38.9929061011015,40.1107639268746
Greenland,GRL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,44.4545789045455,41.0427004962382
Grenada,GRD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Guam,GUM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,19.2530160304082,22.2501966955153
Guatemala,GTM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,18.1693265265636,17.6119761529528
Guinea,GIN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,40.2070955310504,35.042049336042
Guinea-Bissau,GNB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,25.4768673297515,27.0026855948093
Guyana,GUY,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Haiti,HTI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,10.7808225917355,10.5576734334849
Honduras,HND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,41.4548165613247,40.2189637388964
"Hong Kong SAR, China",HKG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,188.339507002291,177.651315174364
Hungary,HUN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,83.7553158559384,81.5297406120423
Iceland,ISL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,46.0467623881339,43.7132484395931
India,IND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,19.9278285988606,18.6642648972528
Indonesia,IDN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,21.0027464970783,18.5915277973681
"Iran, Islamic Rep.",IRN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.1163801000709,23.4838672675323
Iraq,IRQ,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,40.8026420265318,38.0518681988838
Ireland,IRL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,122.480946405531,128.004242909111
Isle of Man,IMN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Israel,ISR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.8729164592503,29.0493529523896
Italy,ITA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.3535542007886,31.6024197276206
Jamaica,JAM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,38.5638482851901,38.0360807474106
Japan,JPN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,18.3149455985223,17.4635264275221
Jordan,JOR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,35.1277586384661,36.6712029623066
Kazakhstan,KAZ,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,37.6252184252873,36.4389870990994
Kenya,KEN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,12.541975333359,11.4279966637126
Kiribati,KIR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,8.17828434504792,14.9861483974359
"Korea, Dem. People's Rep.",PRK,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
"Korea, Rep.",KOR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,41.7132908430894,39.2758610673609
Kosovo,XKX,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.0534647196644,29.3126074591152
Kuwait,KWT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,57.4954948554217,52.3310917890614
Kyrgyz Republic,KGZ,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.6017300051143,33.4764696600324
Lao PDR,LAO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Latvia,LVA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,61.4589417496788,60.0210271401091
Lebanon,LBN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.7545211587566,20.6977589567577
Lesotho,LSO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,49.8331114219045,46.2093281781161
Liberia,LBR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Libya,LBY,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,39.6135044170514,41.2612030672135
Liechtenstein,LIE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Lithuania,LTU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,75.2054048902229,77.2441152993638
Luxembourg,LUX,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,197.501337465788,206.411649793168
"Macao SAR, China",MAC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,82.6699616409331,82.706393125478
Madagascar,MDG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.5360236539412,28.4244012431975
Malawi,MWI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Malaysia,MYS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,68.554971419686,65.2777668428576
Maldives,MDV,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Mali,MLI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,24.5223744016967,25.7052911327686
Malta,MLT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,160.702900359333,163.818082515006
Marshall Islands,MHL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,39.8289198193646,37.2063266205984
Mauritania,MRT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,36.5862504012937,42.3975240406607
Mauritius,MUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,46.0962669509066,44.6671405250455
Mexico,MEX,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,39.0439304419331,38.4970333000564
"Micronesia, Fed. Sts.",FSM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,36.3735714285714,26.7941370558376
Moldova,MDA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,30.6963699430194,31.1910849579769
Monaco,MCO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Mongolia,MNG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,58.1647822769264,59.2172331806539
Montenegro,MNE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,42.8750002680603,43.8466387797969
Morocco,MAR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,33.8284373726717,34.093057468891
Mozambique,MOZ,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,45.5310358379472,37.1420563594711
Myanmar,MMR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Namibia,NAM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,35.8825652135406,36.400882444122
Nauru,NRU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,54.4378698224852,60.5714285714286
Nepal,NPL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,7.81564102219889,7.77993647445109
Netherlands,NLD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,84.6834636757465,82.5377127008628
New Caledonia,NCL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
New Zealand,NZL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,27.8839087705317,27.3503056565813
Nicaragua,NIC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,42.2773900941147,44.8045000879666
Niger,NER,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,11.2957371550569,10.7593769160532
Nigeria,NGA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
North Macedonia,MKD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,60.3751373173263,62.4080567878813
Northern Mariana Islands,MNP,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,50.7302075326672,42.3370025402202
Norway,NOR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,38.2210272883516,36.640925320627
Oman,OMN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,50.6213051386994,49.492016987897
Pakistan,PAK,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,8.58179970762808,9.39086337877951
Palau,PLW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,42.026616160049,37.9182813185067
Panama,PAN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,42.3667958563275,40.3086697473788
Papua New Guinea,PNG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Paraguay,PRY,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,36.8532235364332,36.0872909434467
Peru,PER,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,25.1921846722472,24.0390874349068
Philippines,PHL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,30.2136053736583,28.3829200122031
Poland,POL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,52.7480289263233,53.1953356183897
Portugal,PRT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,43.4457190264876,43.5084218458323
Puerto Rico,PRI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,59.9538818579193,60.5788840862048
Qatar,QAT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,55.9418631716143,52.1888599262863
Romania,ROU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,41.5417472926055,40.2001946616386
Russian Federation,RUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,30.7932568020743,28.4334306799759
Rwanda,RWA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,21.1080165453368,21.8254493508994
Samoa,WSM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.9656782036393,35.033330142378
San Marino,SMR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,166.597497665141,163.997239166731
Sao Tome and Principe,STP,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Saudi Arabia,SAU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,37.1985098382865,34.0891962076157
Senegal,SEN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,22.9490914783308,24.9831341973865
Serbia,SRB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,50.4345612977047,51.0109231509171
Seychelles,SYC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,87.0444044109968,82.3562686214226
Sierra Leone,SLE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,17.4673004044489,18.2469355821227
Singapore,SGP,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,178.230504749801,176.300088650586
Sint Maarten (Dutch part),SXM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Slovak Republic,SVK,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,95.8358511444373,91.908685245264
Slovenia,SVN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,84.7926764008035,83.6146933079979
Solomon Islands,SLB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,42.1262386063781,36.4969019192988
Somalia,SOM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,13.517411231923,12.0058197867515
South Africa,ZAF,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,27.4970371508423,27.2021294051151
South Sudan,SSD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Spain,ESP,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,35.1450626692993,34.9069018147542
Sri Lanka,LKA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,21.4462486139875,21.8235328944217
St. Kitts and Nevis,KNA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
St. Lucia,LCA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
St. Martin (French part),MAF,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
St. Vincent and the Grenadines,VCT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Sudan,SDN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,7.65020198466392,8.45298341762853
Suriname,SUR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Sweden,SWE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,45.6830615126713,47.8092109523511
Switzerland,CHE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,67.4781861031999,66.9653936798419
Syrian Arab Republic,SYR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,14.9170277126093,13.0100664640827
Tajikistan,TJK,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,14.3754784742862,14.9799392742745
Tanzania,TZA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,14.7391433931711,16.0367461484986
Thailand,THA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,64.838096899332,59.5188906218859
Timor-Leste,TLS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2.91249818345183,21.2720506908123
Togo,TGO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,24.2239524638869,23.8124527104537
Tonga,TON,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,21.4120288357904,21.9718329230219
Trinidad and Tobago,TTO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Tunisia,TUN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,45.4856676552874,45.9504427945255
Turkiye,TUR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.2326925586374,33.0742147083823
Turkmenistan,TKM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.8999852816462,24.7336007327164
Turks and Caicos Islands,TCA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Tuvalu,TUV,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Uganda,UGA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,15.0870530611511,17.1090580167383
Ukraine,UKR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,45.2352356625927,41.2316912560049
United Arab Emirates,ARE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,91.994776867123,96.6641687524381
United Kingdom,GBR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.5801113597336,31.63478028095
United States,USA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,12.2871107596266,11.7950067827852
Uruguay,URY,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,26.421659976166,27.718333861424
Uzbekistan,UZB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,26.8410539302304,28.2980025068381
Vanuatu,VUT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,41.596872147025,50.3452768729642
"Venezuela, RB",VEN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Viet Nam,VNM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,84.4234560193748,85.1575871009316
Virgin Islands (U.S.),VIR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,53.1226102472598,54.9623877699587
West Bank and Gaza,PSE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,15.961564454493,15.5210552426533
"Yemen, Rep.",YEM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,8.75559691367438,..
Zambia,ZMB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,37.9574045480394,34.6361926031881
Zimbabwe,ZWE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,26.1639731327864,27.5541564071286
Africa Eastern and Southern,AFE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,25.3159207377354,23.9031236285442
Africa Western and Central,AFW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Arab World,ARB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,45.0138434076296,43.0914173175096
Caribbean small states,CSS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Central Europe and the Baltics,CEB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,63.2873914879653,62.2062459109166
Early-demographic dividend,EAR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,25.8024609093788,24.8020101780457
East Asia & Pacific,EAS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.1163562622256,27.9295717686753
East Asia & Pacific (excluding high income),EAP,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,23.3129466124169,22.406504487144
East Asia & Pacific (IDA & IBRD countries),TEA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,23.3115677709204,22.405163343868
Euro area,EMU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,48.0542338885239,48.3069146763897
Europe & Central Asia,ECS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,45.1186603194712,45.0419095786687
Europe & Central Asia (excluding high income),ECA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,36.7374796013441,36.9641994347545
Europe & Central Asia (IDA & IBRD countries),TEC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,37.5768972985274,36.6561262720335
European Union,EUU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,49.1176351626429,49.4016501432035
Fragile and conflict affected situations,FCS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Heavily indebted poor countries (HIPC),HPC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,23.6932236089987,23.1473392609543
High income,HIC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,32.0802016640094,31.2103807711926
IBRD only,IBD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,25.3133678583633,24.4307671489356
IDA & IBRD total,IBT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,24.8503384509704,24.0004513435968
IDA blend,IDB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
IDA only,IDX,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,21.3519627036861,21.1581074335567
IDA total,IDA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,19.6856675595595,19.5175070743399
Late-demographic dividend,LTE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,28.8101442340859,28.1207434322555
Latin America & Caribbean,LCN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,24.1056562470319,24.34062031817
Latin America & Caribbean (excluding high income),LAC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,22.8025008402671,23.0511152724731
Latin America & the Caribbean (IDA & IBRD countries),TLA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,23.5945280920981,23.8367630600641
Least developed countries: UN classification,LDC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,21.0741366536329,20.3900694175128
Low & middle income,LMY,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,23.6095377942313,22.8181172848694
Low income,LIC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,19.6973158279154,18.2945818370649
Lower middle income,LMC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,24.7608131556448,24.099144018619
Middle East & North Africa,MEA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,43.0542287355809,40.8867852105216
